SAKNR	BUKRS	XSPEB
1101000001	UH39	X
1101000005	UH39	X
1101000006	UH39	X
1101000007	UH39	X
1101000008	UH39	X
1101210000	UH39	X
1101210001	UH39	X
1101210005	UH39	X
1101210006	UH39	X
1101210007	UH39	X
1121100000	UH39	X
1121101000	UH39	X
1121102000	UH39	X
1121200000	UH39	X
1121201000	UH39	X
1121202000	UH39	X
1121300000	UH39	X
1130010100	UH39	X
1130020100	UH39	X
1130030100	UH39	X
1131010100	UH39	X
1132100000	UH39	X
1143100000	UH39	X
1144100000	UH39	X
1160000000	UH39	X
1161000000	UH39	X
1162000000	UH39	X
1162100000	UH39	X
1163000000	UH39	X
1164000000	UH39	X
1165000000	UH39	X
1170000000	UH39	X
1200000005	UH39	X
1200000008	UH39	X
1200000009	UH39	X
1201000005	UH39	X
1201000008	UH39	X
1201000009	UH39	X
1202000005	UH39	X
1202000008	UH39	X
1202000009	UH39	X
1203000005	UH39	X
1203000008	UH39	X
1203000009	UH39	X
1204000005	UH39	X
1204000008	UH39	X
1204000009	UH39	X
1205000005	UH39	X
1205000008	UH39	X
1205000009	UH39	X
1206000005	UH39	X
1206000008	UH39	X
1206000009	UH39	X
1207000005	UH39	X
1207000008	UH39	X
1207000009	UH39	X
1208000005	UH39	X
1208000008	UH39	X
1208000009	UH39	X
1210000008	UH39	X
1210000009	UH39	X
1211000008	UH39	X
1211000009	UH39	X
1212000008	UH39	X
1212000009	UH39	X
1213000008	UH39	X
1213000009	UH39	X
1214000008	UH39	X
1214000009	UH39	X
1215000008	UH39	X
1215000009	UH39	X
1219000000	UH39	X
1221000000	UH39	X
1222000000	UH39	X
1223000000	UH39	X
1224000000	UH39	X
1225000000	UH39	X
1226000000	UH39	X
1227000000	UH39	X
2101100000	UH39	X
2101101000	UH39	X
2101102000	UH39	X
2101200000	UH39	X
2101201000	UH39	X
2101202000	UH39	X
2101300000	UH39	X
2101301000	UH39	X
2101400000	UH39	X
2101500000	UH39	X
2101501000	UH39	X
2121100000	UH39	X
2122000000	UH39	X
2123000000	UH39	X
2123100000	UH39	X
2133000000	UH39	X
2134000000	UH39	X
2142000000	UH39	X
2143000000	UH39	X
2230000000	UH39	X
2241000000	UH39	X
2242000000	UH39	X
2243000000	UH39	X
2250000000	UH39	X
2251000000	UH39	X
4100200000	UH39	X
4101200000	UH39	X
4102200000	UH39	X
4102300000	UH39	X
4110200000	UH39	X
4111200000	UH39	X
4112200000	UH39	X
4120200000	UH39	X
4121200000	UH39	X
4122200000	UH39	X
4130200000	UH39	X
4131200000	UH39	X
4132200000	UH39	X
4201000000	UH39	X
4301000000	UH39	X
4400000000	UH39	X
4401000000	UH39	X
5100200000	UH39	X
5100300000	UH39	X
5101200000	UH39	X
5102000000	UH39	X
5103000000	UH39	X
5104000000	UH39	X
5105000000	UH39	X
5110100000	UH39	X
5110200000	UH39	X
5110300000	UH39	X
5110400000	UH39	X
5110500000	UH39	X
5110600000	UH39	X
5110700000	UH39	X
5110800000	UH39	X
5111010000	UH39	X
5111020000	UH39	X
5111030000	UH39	X
5111040000	UH39	X
5111050000	UH39	X
5111060000	UH39	X
5111070000	UH39	X
5111080000	UH39	X
5111100000	UH39	X
5111110000	UH39	X
5111120000	UH39	X
5111130000	UH39	X
5111140000	UH39	X
5111150000	UH39	X
5113000000	UH39	X
5114000000	UH39	X
5121000000	UH39	X
5205000000	UH39	X
5206000000	UH39	X
5213000000	UH39	X
5214000000	UH39	X
5215000000	UH39	X
5216000000	UH39	X
5224000000	UH39	X
5225000000	UH39	X
5226000000	UH39	X
5230000000	UH39	X
5231000000	UH39	X
5240000000	UH39	X
5250000000	UH39	X
5251000000	UH39	X
5252000000	UH39	X
5253000000	UH39	X
5300000000	UH39	X
5301000000	UH39	X
5302000000	UH39	X
5302100000	UH39	X
5303000000	UH39	X
5309000000	UH39	X
5309100000	UH39	X
5309200000	UH39	X
5309210000	UH39	X
5309300000	UH39	X
5310000000	UH39	X
5311000000	UH39	X
5312000000	UH39	X
5313000000	UH39	X
5314000000	UH39	X
5315000000	UH39	X
5319000000	UH39	X
5319100000	UH39	X
5319200000	UH39	X
5319300000	UH39	X
5319400000	UH39	X
5319500000	UH39	X
5322000000	UH39	X
5323000000	UH39	X
5324000000	UH39	X
5329000000	UH39	X
5329100000	UH39	X
5329200000	UH39	X
5329300000	UH39	X
5329400000	UH39	X
5330000000	UH39	X
5340000000	UH39	X
5350000000	UH39	X
5351000000	UH39	X
5352000000	UH39	X
5353000000	UH39	X
5431000000	UH39	X
5432000000	UH39	X
5433000000	UH39	X
5434000000	UH39	X
5435000000	UH39	X
5436000000	UH39	X
6100000001	UH39	X
6100000002	UH39	X
6100000004	UH39	X
6100000005	UH39	X
6103000000	UH39	X
6213000000	UH39	X
6214000000	UH39	X
6215000000	UH39	X
6216000000	UH39	X
6217000000	UH39	X
6218000000	UH39	X
6220000000	UH39	X
6220100000	UH39	X
6220200000	UH39	X
6220300000	UH39	X
6220400000	UH39	X
6220500000	UH39	X
6220600000	UH39	X
6220700000	UH39	X
6220800000	UH39	X
6221000000	UH39	X
6221100000	UH39	X
6221200000	UH39	X
6221300000	UH39	X
6221400000	UH39	X
6221500000	UH39	X
6241000000	UH39	X
6242000000	UH39	X
6243000000	UH39	X
6244000000	UH39	X
6245000000	UH39	X
6311000000	UH39	X
6312000000	UH39	X
6313000000	UH39	X
6314000000	UH39	X
6315000000	UH39	X
6316000000	UH39	X
6317000000	UH39	X
6318000000	UH39	X
6320100000	UH39	X
6320200000	UH39	X
6320300000	UH39	X
6320400000	UH39	X
6320500000	UH39	X
6320600000	UH39	X
6320700000	UH39	X
6320800000	UH39	X
6321000000	UH39	X
6321100000	UH39	X
6321200000	UH39	X
6321300000	UH39	X
6321400000	UH39	X
6321500000	UH39	X
6331000000	UH39	X
6332000000	UH39	X
6340000000	UH39	X
6341000000	UH39	X
6342000000	UH39	X
6343000000	UH39	X
6344000000	UH39	X
6345000000	UH39	X
6346000000	UH39	X
6430000000	UH39	X
6440000000	UH39	X
6450000000	UH39	X
6451000000	UH39	X
6460000000	UH39	X
6461000000	UH39	X
6462000000	UH39	X
6463000000	UH39	X
6500000000	UH39	X
6501000000	UH39	X
6502000000	UH39	X
6503000000	UH39	X
6504000000	UH39	X
6505000000	UH39	X
6510000000	UH39	X
6511000000	UH39	X
6512000000	UH39	X
6520000000	UH39	X
6521000000	UH39	X
6522000000	UH39	X
6524000000	UH39	X
6801000000	UH39	X
6802000000	UH39	X
6810000000	UH39	X
6811000000	UH39	X
6812000000	UH39	X
6820000000	UH39	X
6830000000	UH39	X
6840000000	UH39	X
6850000000	UH39	X
6851000000	UH39	X
6852000000	UH39	X
6853000000	UH39	X
6855000000	UH39	X
