SAKNR	BUKRS	GLACCOUNT_TYPE	KTOKS	TXT20_ML	TXT50_ML	WAERS	XSALH	MWSKZ	XMWNO	XOPVW	FSTAG	TXT20_TX_02	TXT50_TX_02
4100000000	UH39	P	Y400	GS_FG - 3rd	Gross sales_finished goods - 3rd party			+			Y029	GS_FG - 3rd	Gross sales_finished goods - 3rd party
4100100000	UH39	P	Y400	GS_FG - IC	Gross sales_finished goods - Intercompany			+			Y029	GS_FG - IC	Gross sales_finished goods - Intercompany
4101000000	UH39	P	Y400	GS_TG - 3rd	Gross sales_Trading goods - 3rd party			+			Y029	GS_TG - 3rd	Gross sales_Trading goods - 3rd party
4101100000	UH39	P	Y400	GS_TG - IC	Gross sales_Trading goods - Intercompany			+			Y029	GS_TG - IC	Gross sales_Trading goods - Intercompany
4102000000	UH39	P	Y400	GS_Oth - 3rd	Gross sales_other goods /materials - 3rd party			+			Y029	GS_Oth - 3rd	Gross sales_other goods /materials - 3rd party
4102100000	UH39	P	Y400	GS_Oth - IC	Gross sales_other goods /materials - Intercompany			+			Y029	GS_Oth - IC	Gross sales_other goods /materials - Intercompany
4110000000	UH39	P	Y400	Returns_FG - 3rd	Returns_finished goods - 3rd party			+			Y029	Returns_FG - 3rd	Returns_finished goods - 3rd party
4110100000	UH39	P	Y400	Returns_FG - IC	Returns_finished goods - Intercompany			+			Y029	Returns_FG - IC	Returns_finished goods - Intercompany
4111000000	UH39	P	Y400	Returns_TG - 3rd	Returns_Trading goods - 3rd party			+			Y029	Returns_TG - 3rd	Returns_Trading goods - 3rd party
4111100000	UH39	P	Y400	Returns_TG - IC	Returns_Trading goods - Intercompany			+			Y029	Returns_TG - IC	Returns_Trading goods - Intercompany
4112000000	UH39	P	Y400	Returns_Oth - 3rd	Returns_other goods /materials - 3rd party			+			Y029	Returns_Oth - 3rd	Returns_other goods /materials - 3rd party
4112100000	UH39	P	Y400	Returns_Oth - IC	Returns_other goods /materials - Intercompany			+			Y029	Returns_Oth - IC	Returns_other goods /materials - Intercompany
4120000000	UH39	P	Y400	Discnt_FG - 3rd	Discounts_finished goods - 3rd party			+			Y029	Discnt_FG - 3rd	Discounts_finished goods - 3rd party
4120100000	UH39	P	Y400	Discnt_FG - IC	Discounts_finished goods - Intercompany			+			Y029	Discnt_FG - IC	Discounts_finished goods - Intercompany
4121000000	UH39	P	Y400	Discnt_TG - 3rd	Discounts_Trading goods - 3rd party			+			Y029	Discnt_TG - 3rd	Discounts_Trading goods - 3rd party
4121100000	UH39	P	Y400	Discnt_TG - IC	Discounts_Trading goods - Intercompany			+			Y029	Discnt_TG - IC	Discounts_Trading goods - Intercompany
4122000000	UH39	P	Y400	Discnt_Oth - 3rd	Discounts_other goods /materials - 3rd party			+			Y029	Discnt_Oth - 3rd	Discounts_other goods /materials - 3rd party
4122100000	UH39	P	Y400	Discnt_Oth - IC	Discounts_other goods /materials - Intercompany			+			Y029	Discnt_Oth - IC	Discounts_other goods /materials - Intercompany
4130000000	UH39	P	Y400	Sales Red_FG - 3rd	Sales reduction from contract with cust_FG - 3rd 			+			Y029	Sales Red_FG - 3rd	Sales reduction from contract with cust_FG - 3rd 
4130100000	UH39	P	Y400	Sales Red_FG - IC	Sales reduction from contract with cust_FG- IC			+			Y029	Sales Red_FG - IC	Sales reduction from contract with cust_FG- IC
4131000000	UH39	P	Y400	Sales Red_TG - 3rd	Sales reduction from contract with cust_TG - 3rd			+			Y029	Sales Red_TG - 3rd	Sales reduction from contract with cust_TG - 3rd
4131100000	UH39	P	Y400	Sales Red_TG - IC	Sales reduction from contract with cust_TG - IC			+			Y029	Sales Red_TG - IC	Sales reduction from contract with cust_TG - IC
